Method,Mean,Std
KNN,0.0707142857142856,0.0324515753636234
LDA,0.260952380952381,0.0433275450838199
SVM,0.0795238095238095,0.0303102444515203
Bys,0.0920238095238095,0.0361269647897452
Tree,0.135952380952381,0.0366120918415856
