Method,Mean,Std
KNN,0.929285714285714,0.0324515753636234
LDA,0.739047619047619,0.0433275450838199
SVM,0.92047619047619,0.0303102444515203
Bys,0.90797619047619,0.0361269647897452
Tree,0.864047619047619,0.0366120918415856
